place_id,slot,date,time,rater,weather,temp_f,lux,kelvin,db_mean,db_peak,db_variability,seats_total,seats_occupied,people_visible,enclosure,complexity,greenery,daylight,seat_comfort,privacy,talk_ok,thermal,outlets,wifi,food_drink,restroom,table_surface,back_to_wall,photo_wide,photo_pov,photo_light,notes
p41,C_wkdy_afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p41,D_wkdy_evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p41,E_wkend_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p42,A_wkdy_morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p42,B_wkdy_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p42,C_wkdy_afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p42,D_wkdy_evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p42,E_wkend_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p43,A_wkdy_morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p43,B_wkdy_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p43,C_wkdy_afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p43,D_wkdy_evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p43,E_wkend_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p44,A_wkdy_morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p44,B_wkdy_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p44,C_wkdy_afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p44,D_wkdy_evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p44,E_wkend_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p45,A_wkdy_morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p45,B_wkdy_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p45,C_wkdy_afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p45,D_wkdy_evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p45,E_wkend_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
